userID,recommended_itemIDs
1, 592 2765 930 1503 102 1537 2646 2602 951 3138
3, 3785 2002 2139 3563 151 3861 1915 836 1935 355
11, 1779 2323 592 3390 3203 616 3327 466 3104 647
29, 2699 1297 2916 2657 1371 3773 2941 3813 3483 1208
31, 2163 1405 3880 2120 3832 2901 2294 536 166 543
33, 925 3499 495 3364 318 1245 1438 2668 937 949
35, 3032 2433 1985 3521 2677 1136 517 2686 3128 1129
51, 2065 1682 1534 1840 1887 3534 98 1748 1354 3423
53, 1046 3581 3604 3004 149 1339 3478 250 3163 2337
55, 1985 885 3565 533 2289 3033 3118 3091 1881 1817
57, 784 1907 2805 1678 2235 247 1631 3929 1279 1089
67, 465 3452 1089 1375 2383 2729 1176 1132 94 3417
73, 1644 2935 2191 3503 842 3701 1975 2874 3905 3581
79, 2243 410 2363 3115 3189 107 841 1719 1387 3696
85, 2421 1998 2089 3827 485 427 1934 1187 497 2011
89, 1013 2442 2282 1770 1344 3362 3496 2463 3545 1975
91, 1375 1804 204 2580 1677 2941 3024 841 337 1707
97, 2353 2967 2710 3303 1196 442 809 2956 181 2931
117, 3547 1725 1918 1396 3230 3094 3360 3185 2605 408
119, 1330 2729 434 2405 3426 2668 2288 1276 704 3675
125, 2548 3125 3741 3726 3296 2587 2011 1884 1014 94
127, 3604 3052 3100 348 1012 2083 1963 1545 132 1507
129, 2987 2139 140 565 2761 1826 2748 3819 1911 3701
137, 2377 3255 2567 269 420 2551 3477 1367 3669 993
139, 1955 3418 2347 157 1974 3527 339 125 2087 2364
157, 3577 219 3785 2702 2747 2800 1631 3529 551 1999
159, 1253 2967 3725 1833 2095 1097 547 766 2813 3704
161, 164 2502 2815 1907 537 1690 151 724 2928 1132
173, 3475 1934 2423 2924 1042 537 3882 907 3761 833
179, 1069 2991 1658 3070 2708 3340 3623 2075 1350 1131
181, 2241 3773 3931 2291 2133 2891 1623 1097 2747 3631
185, 3763 830 805 2590 100 2227 3363 3107 413 3832
187, 3004 2597 3490 2232 1388 3590 3849 2009 151 849
189, 2778 2555 613 3713 1615 3024 3910 3216 453 153
199, 3629 765 1465 3875 2196 533 3545 3408 1645 3287
201, 3492 627 2241 3098 3604 927 2531 135 1033 1772
209, 2460 3467 950 1929 3849 2625 1245 3526 2211 778
213, 3031 1932 2351 2681 3090 3946 2800 1222 2688 3539
229, 122 1595 3125 1932 362 1197 1921 555 1379 1375
231, 3724 1592 2794 1676 3221 405 408 2284 2037 290
235, 3527 3012 1206 2287 1939 833 3229 350 2118 3880
259, 2599 2337 2572 685 3200 659 248 3685 1685 467
261, 1678 393 149 1934 315 2676 1689 427 1148 2084
263, 587 2079 3527 389 3952 2804 237 2691 1378 1689
267, 3062 332 1943 2800 1570 2261 2966 3707 2136 1445
269, 944 2661 543 149 953 466 3259 678 2708 1291
271, 678 2261 748 2950 374 2597 2774 3606 946 2890
273, 1464 2802 2387 2075 257 420 3683 2471 3219 269
275, 3264 1965 3795 2282 266 2582 3771 2413 2752 1554
279, 2212 2407 2570 3304 3270 1392 2891 3858 1926 1909
287, 852 3363 724 2522 1684 2420 3736 698 3490 2249
291, 3257 3423 3752 3787 2928 784 1987 3452 3569 3129
293, 2892 2764 2802 1881 363 3358 518 2413 567 2315
307, 3444 1701 3253 249 2505 1375 2431 2521 1534 3101
311, 514 2702 1245 2448 967 3481 946 2193 2085 3771
327, 2171 410 2761 1285 2331 1688 3707 2899 2336 3339
337, 2325 2928 1345 1323 2881 1911 1090 2949 2362 2579
353, 3591 1665 3448 1049 2468 3444 3585 1224 736 563
377, 3930 990 3503 2147 1755 2706 3771 3754 3683 2962
387, 2731 3811 2207 3910 3823 3030 378 1438 3362 2137
389, 2081 153 2100 1015 1172 3271 2579 2866 1279 1227
397, 546 3039 3083 1684 1963 3147 2495 2706 265 215
407, 2618 628 1237 483 1393 1296 2289 897 513 370
409, 3638 2717 715 1015 2089 1476 2506 3310 2460 539
415, 507 2590 3620 1665 267 2378 2941 613 3444 1677
425, 1515 3585 153 3496 465 3334 2929 2572 2500 3127
443, 567 1217 3197 942 3451 253 3471 3516 3076 1193
447, 1271 1917 3224 410 3725 1770 3012 1005 1215 2919
455, 250 3244 2153 2114 3417 1942 1529 565 2067 602
457, 3243 1707 3569 621 1921 1358 3724 2681 199 2722
463, 1994 2937 1805 246 201 3190 3036 1379 2769 224
467, 2948 653 3360 2956 852 3268 2445 2191 928 3163
473, 2249 1955 3835 1717 1373 3303 1172 1588 2850 3192
475, 3145 1214 778 2515 1609 3723 2068 350 1731 1529
485, 2179 2154 1960 2243 1688 2023 3946 954 161 1484
487, 2290 3037 1028 2575 252 1733 2759 3147 1212 454
495, 2893 2082 1010 2986 1012 3469 627 831 2084 3307
513, 2335 2455 1611 3658 379 3816 2002 1275 1023 3196
519, 95 1840 2602 1603 1535 2590 1974 290 917 3343
525, 3734 737 140 448 2501 3008 1580 680 2170 232
527, 3036 905 3528 1550 157 1810 509 2712 3638 3849
529, 1020 1292 563 3082 2013 2119 3099 1921 2866 673
533, 1699 2052 1345 940 1962 3252 2961 358 1894 3145
539, 1408 357 1279 3813 482 2097 3129 1007 1089 1419
567, 832 2369 2009 2447 1809 361 3498 3606 3328 2171
571, 224 2149 866 3895 1034 3795 1453 1278 2612 152
