userID,recommended_itemIDs
1, 1097 1307 1291 592 593 318 1270 1196 260 1198
3, 608 318 377 590 593 592 2797 1307 2916 1580
11, 2478 2096 2405 2421 914 1029 2087 2470 2081 2054
29, 1682 1393 780 590 377 587 2916 3253 3255 457
31, 2706 2355 2701 2710 2987 2694 1513 3175 2997 2605
33, 1200 3527 2916 1356 780 1376 2011 1214 2105 541
35, 592 3527 2797 2640 1200 2916 2115 1374 1240 780
51, 3448 2100 587 2797 2011 1307 3526 2144 3253 1968
53, 608 593 1617 858 1196 912 919 1198 1136 1270
55, 1270 1136 592 260 1968 1240 1307 2716 2797 1394
57, 1374 1291 1240 1200 592 2640 780 1214 1196 260
67, 2797 1968 1307 1270 1394 2716 1291 2791 592 1580
73, 1307 2100 2797 1136 3448 1079 590 1270 919 1094
79, 2716 919 1097 2797 1196 3035 260 1197 1270 1307
85, 2858 593 1197 1270 2028 1196 260 1198 1580 2987
89, 539 3448 1307 1517 2797 1777 3253 592 1393 2100
91, 1969 1976 1347 1975 1991 1983 1130 1982 2513 1327
97, 1240 1196 1580 260 2916 1214 2628 1198 1270 1291
117, 904 1674 923 1307 908 1247 593 2797 912 1387
119, 780 377 457 1291 592 2916 733 1370 2115 1580
125, 592 2797 593 780 1097 1136 1291 541 1968 588
127, 2916 2987 1580 1387 2028 592 1198 2115 593 1240
129, 592 1291 2628 2916 648 1356 457 1527 1917 3527
137, 1393 1682 1094 150 2890 454 300 1302 3386 377
139, 2858 2396 223 1196 589 1580 1270 2628 2355 1097
157, 2011 2640 1374 3527 1270 780 2916 1200 1240 1527
159, 3448 2100 2291 1391 590 1674 3255 1370 736 1094
161, 541 1196 260 1213 923 2186 318 608 858 593
173, 260 1240 1198 1270 589 377 1097 1200 1197 1214
179, 1240 589 457 1580 780 1196 592 608 1527 1200
181, 1079 3361 1136 2797 1968 2791 1394 3448 1270 1307
185, 3527 2640 2916 780 1291 592 1200 1240 2628 1198
187, 1219 924 3471 1200 1214 1240 1206 541 1097 2791
189, 457 377 592 608 593 1580 780 1270 590 1291
199, 260 1291 1196 1240 1214 1200 1270 1097 2640 1197
201, 1370 780 733 1527 2916 316 592 1676 2115 1917
209, 1240 2916 1200 1196 1198 1214 3471 1291 589 1387
213, 923 858 1208 1247 1136 750 924 608 541 111
229, 2858 1270 608 589 1580 1196 318 593 1198 2716
231, 780 2628 1240 2987 1200 1196 3527 2916 1291 1374
235, 1291 2916 780 592 1580 1240 377 457 1370 648
259, 1240 2916 3527 1291 1200 592 1214 1198 2640 1222
261, 608 300 2797 1213 590 593 778 1089 1393 2396
263, 1270 2797 1968 2011 1197 2470 2987 2791 1079 1291
267, 1370 733 1552 592 1917 316 2916 377 1527 2115
269, 223 2987 2706 2355 2683 3623 2710 2699 3160 1580
271, 592 3448 2797 2470 1682 608 2640 780 1291 593
273, 780 592 608 589 2916 593 2716 648 1527 1291
275, 2692 1729 2289 1635 555 778 1089 2599 2890 474
279, 923 922 926 1307 1136 2396 1393 2186 928 3435
287, 2762 2028 2396 589 1580 457 2716 377 2628 3176
291, 1307 592 2100 1136 3448 919 1291 2916 1270 1240
293, 2916 1291 780 592 1580 2628 3527 648 2115 2640
307, 608 1196 2716 2858 318 593 589 2997 1097 1580
311, 1393 587 539 590 1784 357 2100 377 2291 318
327, 3035 1262 1945 3334 2797 3095 3468 903 913 910
337, 592 1291 2115 2640 2797 1097 3527 1370 780 377
353, 1196 260 1291 2640 1240 1580 2916 1197 589 1270
377, 1393 2396 1784 2599 593 2959 377 608 357 2028
387, 2424 586 1485 141 339 3247 539 1614 1020 3253
389, 2797 1240 608 780 1097 2916 593 1196 2011 2640
397, 780 1240 2916 1200 3527 1527 1291 592 2640 1370
407, 1291 2797 780 1580 1270 1097 377 2916 260 648
409, 1270 1136 1198 1240 260 924 1580 1197 1214 1387
415, 2797 608 1270 1097 1214 1196 1200 260 3471 1090
425, 357 3448 2100 1393 912 919 1247 1674 1485 1207
443, 1240 589 780 1200 2916 1580 1291 1097 1196 260
447, 1270 2797 2791 1197 2716 1079 592 1968 3448 1291
455, 3176 3160 2683 2706 1682 2959 2716 2699 1407 223
457, 780 1682 442 1831 1544 1876 316 153 329 1917
463, 1136 2797 3253 1270 1580 1079 2997 1197 1307 1784
467, 1810 1271 3259 3252 300 647 1682 1268 805 832
473, 3448 2797 2011 2470 1307 2100 648 1968 587 3255
475, 1208 1302 1186 3448 1231 1097 1094 1393 1079 2797
485, 1394 1079 1307 1247 1234 3361 923 111 1285 912
487, 2797 1307 2716 1097 1136 919 2791 1580 1079 1291
495, 1240 589 2916 457 1291 1580 1200 377 2028 780
513, 2028 2858 733 3418 1580 2916 2987 1291 1196 590
519, 1527 780 316 165 1391 1918 1676 95 1831 442
525, 1580 1197 1097 780 592 1196 589 260 1240 1291
527, 592 2115 2470 3448 1240 2011 2797 1370 2100 1097
529, 1136 1079 1278 1097 1028 1307 914 919 2987 1234
533, 1682 1784 1393 357 590 3418 1580 2302 2291 1517
539, 593 1196 608 858 1097 1198 260 2987 1580 1136
567, 592 2916 1291 780 1240 2011 2640 1580 2641 2628
571, 593 318 2028 1270 1198 2762 2916 1617 1580 1291
573, 608 2396 1617 1097 318 593 2291 1682 2890 1196
583, 608 1097 2028 593 318 377 2916 2762 1580 2291
589, 1291 2916 457 1580 1200 589 780 3527 592 2716
595, 1271 539 3100 1393 300 2291 1094 339 3317 1088
613, 919 923 910 903 1247 2797 1252 1097 1207 608
615, 592 2797 1240 2011 1270 1097 1291 1196 2916 260
623, 1208 1213 1090 1247 608 3418 592 318 3504 3471
625, 592 1580 588 2628 589 2916 3175 1527 1544 2355
629, 3623 3793 3408 648 2028 3354 589 3624 3751 1580
633, 260 3471 1240 1307 1198 2194 1193 1270 912 589
641, 2916 780 1370 1527 733 592 1676 3527 1917 457
647, 2081 1307 592 588 2797 2100 919 1291 733 2716
649, 586 1485 2470 2100 2011 3448 2145 3526 2797 2302
651, 2797 592 1270 2407 1291 1136 1307 1079 2011 1240
657, 780 592 2916 1240 2011 3527 1200 1580 1291 1527
659, 924 1247 912 1219 919 1136 1208 1097 1193 2797
665, 1136 2797 1097 1079 1394 923 3448 919 1291 1270
667, 3448 1247 2100 1208 3363 590 1090 1234 357 1674
679, 318 593 1198 1270 457 2028 1097 1291 1617 590
683, 780 2916 1240 589 1580 1196 541 3527 260 924
687, 2916 1240 1200 1356 1580 2628 1214 1374 541 589
691, 3448 2797 2100 2470 1968 592 2915 3526 3039 2407
695, 1262 2944 1953 3035 3037 2921 3654 1090 3448 1222
697, 780 2797 2916 457 1291 1968 2716 1307 377 1136
701, 1136 2716 457 592 2987 1198 2791 2797 1079 1270
715, 1196 1291 1097 919 1240 592 924 1214 1136 589
717, 2640 1374 3527 1240 1200 541 1214 1376 2011 3471
719, 1374 1372 1375 780 2393 1240 1200 1376 2628 2011
729, 539 2424 1777 587 357 3255 1784 1721 1682 377
735, 1580 2916 377 1393 1682 1784 589 2628 2890 592
737, 2797 3448 1968 2100 1307 2011 1079 2470 3361 1270
741, 1136 1270 1197 1394 1968 2797 1196 260 608 1097
749, 608 318 590 3418 1617 2028 2858 1270 1393 457
751, 1196 1240 2028 593 1580 608 457 2916 2628 1291
757, 1674 2291 590 3418 3448 914 1682 2100 587 377
759, 3253 1517 2791 2011 1784 1285 1136 1079 3448 2100
771, 2797 1517 1079 1968 1500 1394 1784 3255 592 3448
773, 1079 1097 1270 3471 2640 1200 1240 592 2987 1291
777, 2028 608 589 377 2916 2762 1393 1784 2858 2797
779, 2517 1136 1974 1130 1347 1128 1079 1991 1350 2867
785, 3424 2243 1079 1208 1674 2289 1952 1231 1186 2065
791, 2797 1307 3448 3253 1394 1136 2791 1968 1270 357
797, 2987 2710 2683 2699 2797 1097 2355 1291 592 1580
801, 3253 2797 2011 1580 2916 2302 2716 539 1784 3255
817, 2797 3448 457 780 1968 590 608 593 2011 1784
819, 3253 1517 2302 3255 1500 3526 1968 1784 3087 1485
825, 593 1196 1097 608 318 2916 1270 1580 377 1197
829, 1136 1079 2797 1270 3448 1394 592 457 2716 1200
849, 2797 1196 1270 1291 1136 2916 1240 1197 1580 457
857, 592 1136 780 1240 1270 1079 2916 1580 2791 1200
859, 1307 2797 1270 1387 1234 2716 1247 1278 912 923
861, 2916 1580 2628 2011 1097 780 1584 589 2640 1240
863, 1888 339 207 2424 222 361 539 1801 252 1894
869, 1370 592 2194 3256 1222 2115 3448 1552 165 377
875, 592 2916 1291 2797 1270 1200 1196 1580 457 2716
883, 2797 2011 3448 2100 592 1307 1079 1394 2470 3526
885, 1196 260 1270 919 924 1240 3471 541 1198 1200
887, 1278 919 1307 1080 2987 541 3471 1234 1394 3361
889, 2916 2640 1356 2011 780 1374 1291 3527 1527 1676
893, 2096 594 2087 596 2078 2080 2085 595 2081 1028
903, 780 592 457 1240 648 589 2916 1200 377 2628
905, 1270 1291 2797 1198 2640 1240 1136 1580 1196 1200
909, 1270 1197 1097 2081 2987 1136 2355 1079 1968 590
911, 2916 1240 592 780 1214 1374 1580 2640 1291 1196
917, 2683 2355 2959 2710 2987 2706 2605 3176 2396 2599
923, 2916 2640 2011 592 2628 1527 1200 1584 3527 1270
933, 2716 589 1580 2916 608 593 1387 1270 1784 2396
935, 898 933 914 915 905 910 1244 1104 3545 1964
937, 1247 1079 1234 910 3504 1304 1387 1208 1270 1219
941, 1240 1200 1214 541 1270 1097 1196 260 1136 593
943, 1196 1240 1214 1270 1200 1097 589 1291 3471 2916
947, 780 3253 1682 1784 367 1391 1580 2797 587 2683
959, 589 593 1196 608 1580 1097 2762 2916 260 780
985, 2890 1393 1784 1682 2291 457 337 1094 318 2762
997, 539 1784 2291 3448 590 357 2100 2797 1682 1674
1005, 608 1617 593 2987 1213 260 858 1240 1387 541
1007, 589 2916 1580 780 2396 1240 1197 593 2028 1584
1009, 3448 1580 858 592 1240 1307 1200 1079 2916 589
1025, 1196 1240 1198 1097 1387 260 1197 2797 1291 1214
1039, 2797 1674 1136 1968 1213 608 1307 318 3448 1617
1045, 1270 1197 1136 1291 593 1097 260 1580 1198 2797
1049, 1200 1240 1394 1387 3527 2916 1291 2640 1374 2194
1051, 608 593 457 318 1270 1307 1196 2797 377 1197
1053, 1307 1394 2716 608 593 1270 318 1196 2396 2791
1057, 1208 1953 3362 3504 1952 1394 1252 1304 1291 1136
1061, 592 2011 3255 3253 780 377 539 586 733 2797
1069, 2396 2369 2336 2987 1094 357 1307 2688 590 2686
1073, 1219 1208 111 903 750 904 1252 923 908 919
1077, 592 1200 1240 1291 2916 780 2640 3527 1374 589
1079, 2916 780 2628 589 1213 1580 1240 1584 1097 1200
1081, 2797 1136 1580 1270 1197 1097 592 919 780 1307
1085, 592 1291 316 2115 2011 1391 3033 2470 2054 1917
1089, 2987 2706 2710 2959 223 2694 2716 2762 2797 1517
1091, 919 1247 1136 912 2987 2797 904 1219 924 1097
1093, 1580 2916 1240 1200 589 1214 541 2640 1544 1391
1105, 586 1197 1580 104 2355 1097 1614 1136 543 1968
1113, 1200 541 1240 924 1196 1097 2640 1376 2916 260
1119, 2115 592 780 2916 3527 1291 2641 2640 316 1676
1133, 2640 1374 1376 3527 592 1200 2641 1375 2105 2115
1135, 1240 1200 1094 1387 608 1252 593 1219 457 908
1139, 592 2797 780 367 457 377 2100 3255 1022 919
1141, 780 1676 2916 1527 2105 1356 2011 1584 3527 1580
1149, 780 2916 1527 2628 1917 1356 329 2640 1391 1676
1157, 1270 1197 2716 2797 2791 1136 457 592 1196 1394
1167, 2797 1307 1394 1270 858 2716 593 1136 1198 1387
1171, 1097 1196 1240 260 1206 1214 1198 1136 1197 1580
1175, 1247 2797 1307 260 1219 1208 1136 1079 1240 592
