userID,recommended_itemIDs
1, 3338 318 3307 1148 1207 2762 260 858 908 593
3, 318 3338 3307 1207 260 858 1148 1900 908 2762
11, 3338 2931 318 1207 3307 912 1148 2762 1178 908
29, 3338 260 2762 593 1148 2329 1198 858 1207 1262
31, 3338 2931 858 318 3307 922 1207 593 1178 1252
33, 318 3338 858 1207 908 1148 2931 326 260 912
35, 3307 1178 3338 912 923 858 3030 913 922 908
51, 318 2925 1207 3307 593 858 908 3338 1178 1148
53, 2931 593 2762 2329 3307 858 922 1148 3338 326
55, 3307 1207 3338 318 858 1148 750 908 913 1193
57, 318 3338 2931 858 593 260 912 1193 2858 2494
67, 318 3338 1207 3307 1193 593 260 858 908 912
73, 318 2931 3338 3307 858 260 1207 912 908 593
79, 3338 318 1207 858 3307 922 1148 2931 913 912
85, 318 3307 2762 1207 3338 1148 593 2329 908 858
89, 318 3338 593 1207 2329 858 2762 260 912 908
91, 97 111 116 121 123 150 214 223 232 246
97, 3338 318 3307 1207 2931 593 912 1193 908 2858
117, 318 3338 2762 260 1148 1207 2329 908 3307 593
119, 318 3338 1900 2762 260 2329 1148 1207 593 1198
125, 3338 3307 1207 318 858 913 922 1148 908 3030
127, 318 2931 858 3038 1193 593 260 3338 1148 2329
129, 260 318 912 1148 1207 1262 2762 3038 3307 3338
137, 3338 318 1207 3307 1148 260 912 908 1224 913
139, 318 858 260 3338 593 3030 3307 1193 912 908
157, 858 318 3307 922 908 593 1178 1148 1207 904
159, 318 1900 1207 3338 2762 3307 1148 2609 908 2931
161, 318 3338 3307 2931 912 913 922 858 908 1148
173, 318 1207 3307 3338 1148 2762 858 326 2931 912
179, 318 2931 3338 3307 922 858 1207 1148 593 908
181, 318 3338 3307 858 593 922 1148 1193 2858 1207
185, 3307 318 858 3338 1193 922 260 541 908 2858
187, 858 3307 318 1178 922 1207 3030 3338 912 2931
189, 318 1207 3338 2762 1148 3307 908 260 326 1193
199, 318 260 2762 593 1148 2329 858 3307 1207 2931
201, 97 101 104 111 116 121 123 125 149 150
209, 318 3338 1207 593 2762 912 3307 858 1148 908
213, 3338 2931 318 3307 1148 1207 858 2762 908 922
229, 3338 1207 318 3307 922 912 2931 1148 913 908
231, 318 2925 593 3338 922 908 2329 2858 3307 1148
235, 3338 318 858 593 1148 1207 3307 922 908 2762
259, 318 2762 593 3338 1207 2329 1198 1262 908 912
261, 3307 1178 3030 1207 922 2925 923 913 750 1212
263, 318 593 858 922 3307 3338 912 908 1148 904
267, 318 3307 3338 1207 1148 858 908 912 3038 913
269, 318 2931 3307 3338 922 858 1207 1148 912 908
271, 3306 1178 3307 2731 750 1206 923 1237 2931 3134
273, 318 1207 3307 1148 3338 908 912 260 913 904
275, 318 2937 3338 858 3307 593 1207 2762 260 922
279, 3338 318 858 1207 593 326 2931 1193 1900 3307
287, 318 1207 3338 3307 912 1148 908 858 913 1223
291, 3338 2931 3307 922 1207 908 912 1148 1178 593
293, 3338 318 858 1193 593 3307 1207 326 1148 912
307, 2931 318 3307 3338 912 1207 2858 750 1193 1178
311, 318 3338 2931 593 260 2937 1207 2329 2762 3307
327, 2931 318 3338 1900 858 2925 593 1207 908 912
337, 318 2762 260 2329 593 3338 1198 858 1262 1148
353, 318 858 1193 593 1207 3338 908 2858 260 912
377, 2925 2329 2931 3338 260 858 593 2762 2858 1148
387, 318 2762 3338 2329 260 2494 1148 593 3307 922
389, 3338 3307 318 858 922 2931 1207 908 912 1148
397, 3307 3338 1207 858 318 922 1178 913 908 750
407, 318 2762 3338 260 2329 1207 1148 1900 1262 3307
409, 3338 3307 2925 1207 3038 1148 326 912 2931 908
415, 858 3307 922 1178 3030 2925 750 923 913 1252
425, 3307 3338 318 1207 922 1148 2931 908 3038 912
443, 2931 3338 2329 858 2925 260 3307 2762 922 593
447, 1207 318 3307 3338 260 908 912 858 1262 913
455, 3307 858 3338 318 922 912 2925 3030 1207 908
457, 3307 922 318 858 1207 1193 908 912 1178 3338
463, 1178 858 3338 2858 1193 2931 3307 2360 923 318
467, 318 3338 858 922 3307 260 1148 912 1207 593
473, 318 2931 2762 2329 260 1148 593 1207 3338 1198
475, 318 3338 3307 1207 260 908 1148 593 858 912
485, 3338 2931 318 3307 1148 1207 908 912 260 1223
487, 318 2931 3307 2925 3338 1148 326 593 1207 858
495, 318 3338 3307 593 858 1207 2329 1148 912 1262
513, 318 2931 1148 858 260 3338 2329 3307 326 908
519, 3307 3338 318 1207 858 2925 912 1148 908 922
525, 3338 318 1148 1207 858 912 363 260 908 3307
527, 318 1207 1148 2931 593 260 3338 858 908 2329
529, 3338 1207 318 3307 912 858 908 913 1262 904
533, 318 858 326 3338 1207 3307 1193 922 593 750
539, 3307 2931 3338 318 922 858 1207 1148 2925 908
567, 3338 2858 1193 1206 541 1178 608 593 750 922
571, 3338 318 3307 1900 858 1207 922 912 908 2931
573, 318 858 3338 2925 1207 2329 593 260 2762 1148
583, 3338 3307 912 913 908 858 1207 1178 318 922
589, 318 593 858 3307 2931 260 922 2937 912 1193
595, 3307 858 318 908 1178 922 912 913 593 1207
613, 260 318 326 541 593 608 858 904 913 922
615, 3338 3307 858 1207 922 912 1148 1193 3030 1178
623, 318 3307 3338 1207 858 912 908 904 913 922
625, 2931 318 3338 858 1148 1207 593 2762 1900 3307
629, 318 3338 1207 1148 908 2931 2762 326 858 593
633, 318 3307 3338 858 593 908 260 912 2329 1207
641, 3338 858 2931 318 3307 1178 1193 2858 922 593
647, 318 3338 2931 858 1148 2937 593 3307 922 2762
649, 318 3338 3307 2931 260 1262 593 1207 912 2762
651, 318 3338 260 2762 858 1207 2329 1148 3307 908
657, 858 3307 318 2931 922 1178 593 1193 3338 912
659, 318 3338 2931 858 260 593 922 2925 908 3307
665, 318 858 593 3307 260 2762 908 1198 1148 922
667, 3307 318 1207 922 858 2931 908 1148 3338 912
679, 318 2494 326 858 1148 260 1193 2937 1207 3307
683, 318 3338 2762 260 1207 2494 1148 593 2329 908
687, 318 858 593 1193 3307 922 2925 326 260 2858
691, 260 318 326 541 593 750 858 904 908 912
695, 3307 1207 318 3338 912 908 858 913 922 1178
697, 318 260 1207 3338 3307 1148 858 2931 2329 912
701, 3338 318 3307 1148 1207 908 858 593 912 922
715, 318 3307 3338 1207 593 912 1193 908 1148 922
717, 3338 318 2931 858 1193 2925 1207 2858 912 363
719, 318 2762 1207 1148 593 326 260 1900 3307 2931
729, 3338 2931 318 1207 858 1148 2762 593 1224 908
735, 318 3307 3338 2931 858 1207 922 912 2925 1178
737, 3338 3307 318 1207 858 922 912 593 1148 908
741, 318 3338 3307 1207 912 260 1148 858 1900 2931
749, 2931 3338 3307 318 1207 858 908 1148 3030 922
751, 1148 2931 3338 1207 2329 912 593 1223 908 1224
757, 318 858 908 912 922 1207 2925 2931 3307 3338
759, 2931 318 593 858 1207 2925 922 3307 260 1148
771, 3307 318 3338 858 1178 1207 1193 2931 2925 908
773, 3307 318 1207 2931 3338 912 858 922 1148 913
777, 3338 1207 2762 1148 260 2931 912 3307 908 1262
779, 2925 3307 3338 318 1207 912 858 1148 908 1193
785, 3338 318 3307 1148 922 1207 858 260 1178 908
791, 858 3338 1207 3307 922 318 2925 3030 1193 912
797, 2931 318 3338 593 858 260 2762 922 1193 908
801, 3338 318 2931 3307 922 593 1207 858 2329 1223
817, 318 858 260 593 2329 2762 2931 1198 3338 1148
819, 318 3338 260 593 2762 2931 1148 2329 3307 908
825, 2931 3338 318 1148 858 1207 3307 908 913 912
829, 3307 1207 318 3338 858 912 908 913 922 1178
849, 2762 260 3338 593 2931 2329 1207 1198 1148 858
857, 3307 1178 858 608 923 2360 922 1252 541 1193
859, 318 3338 1148 1207 2762 3307 326 922 908 2925
861, 3307 1207 318 912 858 908 2925 3030 922 1193
863, 3307 3338 1207 318 1148 922 1223 858 1224 908
869, 318 2762 3147 3338 260 2329 2937 1198 593 1262
875, 2329 3338 2931 326 2925 2762 2858 1900 858 260
883, 318 3338 260 593 858 2762 2858 2329 922 1193
885, 318 3307 3338 922 858 1207 593 908 904 1148
887, 318 3307 1207 593 858 908 1193 2762 922 2494
889, 3307 3338 318 858 1207 912 913 1148 922 908
893, 260 318 541 593 858 904 908 912 913 922
903, 318 593 858 922 1148 2931 3338 2925 908 3307
905, 318 858 3338 593 3307 2931 1193 908 1148 912
909, 318 3338 1207 1148 2762 3307 912 260 908 1224
911, 318 3307 1207 2329 1148 3038 593 260 2931 1900
917, 318 3307 2931 858 593 1207 1148 922 260 2762
923, 3338 318 3307 1148 1207 1223 908 858 593 2925
933, 3307 2931 2925 1207 3338 1148 913 908 912 922
935, 318 2931 1148 3338 3307 2762 260 858 1224 2925
937, 3338 2925 318 922 326 3307 1207 858 2931 912
941, 2931 3307 912 3338 1207 858 318 3038 913 908
943, 318 3307 3338 2931 1207 908 858 1148 912 750
947, 858 1206 1178 1193 608 3307 2360 2858 2931 750
959, 3307 858 1178 2931 318 1223 2925 1148 3338 3030
