userID,recommended_itemIDs
1, 2959 1198 1213 904 922 750 858 260 1178 1089
3, 2959 1198 904 922 750 858 260 912 1178 1148
11, 2959 1198 1213 922 904 750 858 260 1178 912
29, 2959 1198 904 922 750 858 912 1207 260 1178
31, 2959 1198 1213 922 904 750 858 260 912 1178
33, 2959 1198 1213 904 922 750 858 260 1178 912
35, 2959 1198 1213 922 904 750 858 260 1178 1089
51, 2959 1198 1213 904 922 750 858 260 912 1178
53, 2959 1198 1213 922 904 750 858 1178 912 1089
55, 2959 1213 922 904 750 858 260 1178 1089 1148
57, 2959 1213 922 904 750 858 260 1178 912 1089
67, 2959 1198 1213 922 904 750 858 260 1178 912
73, 2959 1198 1213 922 904 750 858 260 1178 912
79, 2959 1198 1213 904 922 750 858 260 1178 1089
85, 2959 1198 1213 904 922 750 858 260 1178 1089
89, 2959 1198 1213 904 922 750 858 1178 1148 912
91, 2959 1198 1213 904 922 750 858 260 1178 912
97, 2959 1198 1213 904 922 750 260 1178 1089 912
117, 2959 1198 1213 904 922 750 858 1178 1148 912
119, 2959 1198 1213 904 922 750 858 260 1178 1089
125, 2959 1198 1213 904 922 750 858 260 1178 1148
127, 2959 1198 1213 922 904 750 858 1178 260 1089
129, 2959 1198 1213 904 922 750 858 260 1178 912
137, 2959 1198 1213 904 922 750 858 260 912 1178
139, 2959 1198 1213 904 922 750 858 260 1178 912
157, 2959 1198 1213 904 922 750 858 1178 1148 260
159, 2959 1198 1213 904 922 750 858 260 1178 912
161, 2959 1213 904 922 750 858 260 912 1207 1219
173, 2959 1198 1213 922 904 750 858 260 912 1178
179, 2959 1198 1213 922 904 750 858 912 1178 1148
181, 2959 1198 1213 904 922 750 858 260 1178 1089
185, 2959 1198 1213 922 904 750 858 1178 260 1148
187, 2959 1198 1213 922 904 750 858 260 1178 1089
189, 2959 1198 922 904 750 858 260 912 1178 1148
199, 2959 1213 904 922 750 858 1178 260 1148 912
201, 2959 1198 1213 904 922 858 750 260 912 1207
209, 2959 1198 1213 904 922 750 858 1178 912 1148
213, 2959 1198 1213 922 904 750 858 912 1178 1148
229, 2959 1198 1213 904 922 750 858 1178 260 1148
231, 2959 1198 1213 922 904 750 260 1178 1089 1148
235, 2959 1198 1213 904 922 750 858 260 1178 1089
259, 2959 1198 1213 922 904 750 1178 1089 1148 912
261, 2959 1198 1213 904 922 750 1178 912 260 1148
263, 2959 1198 1213 922 904 750 858 260 1178 1089
267, 2959 1198 1213 904 922 750 858 260 1178 912
269, 2959 1198 1213 922 904 750 858 260 1178 1089
271, 2959 1198 1213 750 912 260 1148 1178 1089 1219
273, 2959 1198 1213 904 922 750 858 260 1178 912
275, 2959 1198 1213 904 922 750 858 260 1178 1148
279, 2959 1198 1213 922 904 750 858 260 912 1178
287, 2959 1198 1213 904 922 750 858 1178 260 1148
291, 2959 1198 1213 904 922 750 1178 912 1148 1089
293, 2959 1198 1213 922 904 750 858 260 1178 1089
307, 1198 1213 922 904 750 260 1178 1089 912 1148
311, 2959 1198 1213 904 922 750 858 260 1178 912
327, 2959 1198 1213 904 922 750 858 260 1178 912
337, 2959 1198 922 904 750 858 260 1178 1089 1148
353, 2959 1213 922 904 750 858 260 1178 912 1089
377, 2959 1198 1213 922 904 750 858 260 1178 1089
387, 2959 1198 1213 904 922 750 858 260 1178 912
389, 2959 1213 922 260 1089 318 1178 858 1148 912
397, 2959 1198 1213 904 922 750 858 1178 1148 1089
407, 2959 1213 922 904 750 260 858 1178 1089 912
409, 2959 1198 1213 922 904 750 858 260 1178 1089
415, 2959 1198 1213 922 904 750 858 260 1178 912
425, 2959 1198 1213 922 904 750 858 260 1178 1089
443, 2959 1213 904 922 750 858 260 1178 1089 1148
447, 1198 1213 904 922 750 858 260 1178 912 1089
455, 2959 1198 1213 904 922 750 858 260 1178 912
457, 1198 1213 904 922 750 858 260 1178 912 1148
463, 2959 1198 1213 922 904 858 260 1178 1089 912
467, 2959 1198 1213 904 922 750 858 260 912 1178
473, 2959 1198 1213 922 904 750 318 1089 1178 1148
475, 2959 1198 1213 904 922 750 858 260 1178 1148
485, 2959 1198 1213 904 922 750 858 260 1178 1089
487, 2959 1198 1213 904 922 750 858 1178 1148 1089
495, 2959 1198 1213 904 922 750 858 912 1178 1148
513, 2959 1198 1213 904 922 750 858 260 1178 1148
519, 2959 1198 1213 922 904 750 858 912 260 1178
525, 2959 1198 1213 904 922 750 858 260 1178 912
527, 2959 1198 1213 904 922 750 858 260 1178 1089
529, 2959 1198 1213 904 922 750 858 260 912 1178
533, 2959 1198 1213 922 904 750 858 1178 1089 318
539, 1198 1213 922 904 750 858 260 912 1178 1089
567, 1213 922 904 750 260 1178 1148 1089 912 1207
571, 2959 1198 1213 922 904 750 858 260 1178 912
573, 2959 1198 922 904 750 858 260 1178 1148 1089
583, 2959 1198 1213 904 922 750 858 912 260 1178
589, 2959 1198 1213 904 922 750 858 260 912 1178
595, 2959 1198 1213 904 922 750 858 1178 260 1148
613, 2959 1198 1213 922 904 858 260 1207 1178 1148
615, 2959 1213 904 922 858 912 260 1207 1178 1148
623, 2959 1198 1213 904 922 750 858 260 1178 1148
625, 2959 1198 1213 922 904 750 858 260 1178 1089
