userID,recommended_itemIDs
1, 318 260 1198 1196 858 593 2028 2762 2858 1197
3, 318 260 1198 858 593 2028 2762 2858 608 912
11, 318 260 1198 1196 858 593 2028 2762 608 2858
29, 260 1198 1196 858 593 2028 2762 2858 608 1197
31, 318 260 1198 1196 858 593 2028 2762 608 2858
33, 318 260 1198 858 593 2028 2762 2858 608 1197
35, 318 260 1198 1196 858 593 2762 608 2858 912
51, 318 260 1198 1196 858 593 2028 2762 608 1197
53, 1198 1196 858 593 2028 2762 608 912 1197 1214
55, 318 260 858 593 2028 2762 2858 608 1214 1136
57, 318 260 1196 858 593 2028 2762 608 2858 912
67, 318 260 1198 858 593 2028 2762 608 912 1197
73, 318 260 1198 1196 858 593 2028 2762 2858 608
79, 318 260 1198 1196 858 593 2028 2762 608 2858
85, 318 260 1198 1196 858 593 2028 2762 2858 608
89, 318 260 1198 1196 858 593 2028 2762 608 2858
91, 318 260 1198 1196 858 593 2028 2762 2858 608
97, 318 260 1198 1196 593 2028 2762 608 2858 912
117, 318 260 1198 1196 858 593 2762 2858 608 912
119, 318 260 1198 1196 858 593 2028 2762 608 2858
125, 318 260 1198 1196 858 593 2028 2762 608 2858
127, 318 260 1198 1196 858 593 2028 2762 608 2858
129, 318 260 1198 1196 858 593 2028 2762 2858 608
137, 318 260 1198 1196 858 593 2028 2762 608 2858
139, 318 260 1198 1196 858 593 2028 608 2858 912
157, 318 260 1198 1196 858 593 2028 2762 2858 608
159, 318 260 1198 1196 858 593 2028 2762 2858 608
161, 318 260 1196 858 593 2762 2858 608 912 1197
173, 318 260 1198 858 593 2028 2762 2858 608 912
179, 318 1198 1196 858 593 2858 608 1197 912 1214
181, 318 260 1198 1196 858 593 2028 2762 2858 608
185, 318 260 1198 858 593 2028 2762 2858 608 1197
187, 318 260 1198 1196 858 593 2028 2762 608 2858
189, 318 260 1198 858 593 2762 608 2858 912 1197
199, 318 260 1196 858 593 2028 2762 2858 608 1197
201, 318 260 1198 1196 858 593 2028 2762 2858 608
209, 318 1198 1196 858 593 2028 2762 608 2858 912
213, 318 1198 1196 858 593 2028 2762 608 2858 912
229, 318 260 1198 1196 858 593 2762 608 2858 912
231, 318 260 1198 1196 593 2028 2762 608 2858 912
235, 318 260 1198 1196 858 593 2762 608 1197 912
259, 318 1198 593 2028 2762 2858 608 1197 912 1214
261, 260 1198 1196 593 2028 2762 608 912 1197 1214
263, 318 260 1198 1196 858 593 2028 2762 608 2858
267, 318 260 1198 1196 858 593 2762 608 2858 912
269, 318 260 1198 1196 858 593 2028 2762 608 2858
271, 318 260 1198 1196 593 2028 2762 2858 608 1197
273, 318 260 1198 1196 858 593 2028 608 1197 912
275, 318 260 1198 1196 858 593 2028 2762 2858 608
279, 318 260 1198 1196 858 593 2762 608 2858 912
287, 318 260 1198 1196 858 593 2028 2762 608 1197
291, 1198 1196 593 2028 608 2858 912 1197 1214 1136
293, 318 260 1198 1196 858 593 2028 2762 2858 608
307, 318 260 1198 1196 593 2028 2762 608 2858 912
311, 318 260 1198 1196 858 593 2028 2762 608 2858
327, 318 260 1198 1196 858 593 2028 2762 608 2858
337, 318 260 1198 1196 858 593 2028 2762 2858 608
353, 318 260 1196 858 593 2028 2762 608 2858 912
377, 260 1198 1196 858 593 2028 2762 608 2858 912
387, 318 260 1198 1196 858 593 2028 2762 2858 608
389, 318 260 1196 858 593 2028 608 912 1197 1214
397, 318 1198 1196 858 593 2028 2762 608 2858 1197
407, 318 260 858 2028 2762 2858 608 1197 912 1214
409, 260 1198 858 593 2028 2762 608 2858 912 1197
415, 318 260 1198 1196 858 2028 2762 2858 608 1197
425, 318 260 1198 1196 858 593 2028 2762 2858 608
443, 260 1196 858 593 2028 2762 608 912 1197 1136
447, 318 260 1198 858 593 2028 2762 608 2858 912
455, 318 260 1198 1196 858 593 2028 2762 608 2858
457, 318 260 1198 1196 858 593 2028 2762 608 2858
463, 318 260 1198 1196 858 593 2028 2762 608 2858
467, 318 260 1198 1196 858 593 2028 2762 608 2858
473, 318 260 1198 1196 858 593 2028 2762 2858 608
475, 318 260 1198 1196 858 593 2028 2762 2858 912
485, 318 260 1198 1196 858 593 2028 2762 608 2858
487, 318 1198 1196 858 593 2028 2762 2858 608 1197
495, 318 1198 1196 858 593 2028 2762 608 2858 912
513, 318 260 1198 1196 858 2028 608 2858 912 1197
519, 318 260 1198 858 593 2028 2762 2858 608 1197
525, 318 260 1198 1196 858 2028 2762 2858 608 1197
527, 318 260 1198 1196 858 593 2028 2858 608 1197
529, 318 260 1198 1196 858 593 2028 2762 608 2858
533, 318 260 1198 1196 858 593 2028 2762 2858 608
539, 318 260 1198 1196 858 593 2028 608 912 1214
567, 260 1196 593 2028 608 2858 912 1197 1214 1136
571, 318 260 1198 1196 858 593 2028 2762 2858 912
