userID,recommended_itemIDs
1, 318 858 2762 260 593 2028 1198 2858 1196 1197
3, 318 260 858 1198 593 2028 2762 2858 1197 1193
11, 2762 318 260 1198 593 2028 2858 858 1196 1197
29, 2028 1198 2762 260 593 1196 858 2858 1197 457
31, 318 260 1198 2762 858 593 2858 2028 1196 1197
33, 260 858 1198 2762 593 318 541 2858 1197 2028
35, 260 1198 1196 858 318 1197 1136 593 2858 919
51, 318 2028 593 2762 858 1198 260 1196 589 457
53, 858 1198 2762 593 912 1196 608 1193 2028 1617
55, 858 260 318 593 2858 2028 1136 608 1193 2762
57, 318 2762 260 593 858 2858 2028 1196 589 1213
67, 318 2762 260 1198 593 2028 858 1197 608 1617
73, 318 2762 858 260 2858 593 1198 2028 1196 2396
79, 260 858 1198 318 1196 2762 593 2858 912 1197
85, 318 2762 2858 260 593 858 1198 2028 1196 1197
89, 318 2028 858 593 2762 1198 260 2858 608 1193
91, 2762 318 2858 593 260 858 2028 1198 1196 2396
97, 318 593 260 1198 2858 2762 2028 608 1196 1617
117, 318 858 2762 260 1198 593 2858 1196 1197 912
119, 2762 260 1198 318 1196 2028 593 858 1197 589
125, 318 858 2858 593 2762 2028 260 1198 608 1193
127, 2762 318 260 1198 2858 593 2028 858 1196 1197
129, 2762 318 260 1198 2028 593 1196 2858 858 1197
137, 2858 318 2762 858 593 260 608 1198 912 1193
139, 318 260 2858 1198 858 593 1196 2028 1197 608
157, 858 318 260 1198 593 2858 2028 2762 1196 608
159, 318 260 2762 858 1198 593 2028 2858 1196 1197
161, 858 2858 260 912 318 608 2762 593 750 541
173, 318 260 2762 1198 2028 593 858 2858 1197 589
179, 318 2858 593 1198 858 1196 1197 608 1617 2396
181, 318 2762 260 858 2858 1198 593 2028 1196 608
185, 260 1198 858 318 1197 2028 593 1136 2762 2858
187, 858 260 318 1198 593 2762 2858 2028 1196 608
189, 318 260 1198 2762 593 858 1197 2858 457 589
199, 858 260 318 593 2028 1196 2858 2762 608 1197
201, 2762 260 1198 318 1196 2028 593 1197 2858 858
209, 858 318 1198 593 2762 2028 1196 2858 608 1193
213, 858 1198 1196 593 318 912 750 608 2028 1193
229, 260 318 1198 858 2762 593 2858 1196 1197 608
231, 2762 260 318 1198 2858 593 1196 2028 1197 589
235, 260 318 1198 2762 858 593 1196 1197 457 589
259, 1198 2762 2028 318 593 1197 1240 1270 1214 457
261, 608 912 1193 2997 593 2762 1247 908 1617 2396
263, 318 260 2762 1198 2858 1196 1197 593 858 2028
267, 318 1198 260 593 858 2762 2858 1196 1197 608
269, 318 2762 2858 260 593 1198 858 2028 1196 1197
271, 2858 608 2997 318 912 1193 1148 593 2762 1617
273, 260 1198 318 1196 2028 1197 593 858 1270 589
275, 2762 2858 318 593 858 260 2396 608 2028 1198
279, 858 912 318 2858 260 608 1193 593 1198 2762
287, 260 1198 858 2028 318 1196 593 2762 1197 589
291, 593 608 2028 1193 2858 912 1198 1617 1213 2396
293, 260 1198 318 2028 1196 2762 593 1197 858 2858
307, 318 2858 593 2762 1198 260 2028 1196 1197 608
311, 2762 318 2858 593 2396 2028 858 260 1198 1617
327, 318 2762 260 1198 858 593 2858 2028 1196 1197
337, 318 2028 2762 260 1198 593 858 2858 1196 589
353, 2762 318 858 2858 260 593 2028 1196 608 1197
377, 2762 2858 260 593 1198 2028 858 1196 1197 2396
387, 318 260 2762 1198 593 2028 2858 858 1196 1197
389, 858 593 318 608 1213 2028 1193 2997 1617 260
397, 1198 858 1196 318 2762 593 2028 2858 1197 1214
407, 260 318 2028 2762 1197 858 1270 1291 2858 1097
409, 858 912 2858 908 750 1193 608 260 919 2762
415, 858 2858 318 608 1617 1213 2028 260 1198 912
425, 318 2762 260 2858 858 1198 593 2028 1196 1197
443, 260 2762 858 2028 593 1196 1197 608 589 1617
447, 318 260 1198 2762 1197 858 2028 593 2858 2396
455, 2762 318 2858 260 593 858 1198 2028 1196 1197
457, 318 2858 2762 858 593 260 1198 2028 608 1196
463, 858 260 1198 608 318 2858 593 1196 1193 1617
467, 318 2762 2858 593 260 2028 1198 858 1196 1197
473, 260 1198 2762 318 1196 2028 1197 593 858 589
475, 318 858 2858 593 2762 2028 260 1193 1198 1617
485, 2762 318 2858 260 858 593 1198 2028 1196 1197
487, 318 2762 1198 593 2858 858 2028 1196 1197 2396
495, 318 2762 858 593 1198 2858 2028 1196 1197 608
513, 318 260 1198 2028 858 1196 2858 1197 608 1193
519, 2762 260 1198 318 2028 593 2858 858 589 1197
525, 318 2762 260 1198 2028 2858 1196 858 1197 589
527, 1198 260 858 318 1196 2028 593 1197 1136 589
529, 858 260 2762 318 912 1198 919 2858 593 1197
533, 318 858 260 2762 1198 593 2858 2028 1196 608
539, 260 858 318 1198 593 1196 912 2028 608 2396
567, 260 1196 1197 2028 1136 593 2858 1214 589 1200
571, 318 858 260 1198 593 2858 2762 2028 1196 1197
573, 858 260 1198 2858 318 608 593 1196 750 1617
583, 858 318 260 593 1198 2858 2028 2762 608 1196
589, 260 1198 318 858 593 2762 1197 589 1214 541
595, 318 2762 2858 858 260 593 1198 2028 1196 1197
613, 858 919 913 904 260 923 1148 1207 1193 318
615, 2858 858 260 2762 593 608 1617 1193 2997 912
623, 858 260 1198 318 2762 2028 2858 608 1196 1193
625, 260 318 2762 1198 858 593 2858 2028 1196 1197
629, 318 2762 260 858 593 1198 2858 2028 1196 1197
633, 318 858 260 1198 593 2028 2762 2858 608 1197
641, 318 1198 2028 593 2858 858 2762 1197 608 1213
647, 260 1198 318 858 2762 593 2028 1196 2858 919
649, 2762 318 260 1198 593 2858 2028 858 1196 1197
651, 260 858 1198 318 1196 2762 2028 2858 1197 1193
657, 858 260 1198 593 318 608 2858 1196 1193 1213
659, 260 858 1198 2762 318 1196 593 2858 1197 2028
665, 318 858 2858 2762 593 260 1198 2028 608 1193
667, 318 2762 858 593 260 1198 2858 2028 1196 608
679, 318 1198 260 858 2028 1196 593 2762 2858 1617
683, 260 1198 318 1196 2762 2028 1197 593 858 1270
687, 318 593 1198 858 260 2762 2858 1196 608 1617
691, 318 2762 260 1198 1197 2858 1196 593 2396 858
695, 260 858 1198 318 2762 1196 593 2028 1197 2858
697, 318 260 1198 2028 858 1196 2858 1197 1617 457
701, 260 1198 318 858 2762 1196 593 2858 1136 919
715, 318 2762 593 2028 2858 1197 1196 2396 919 608
717, 2762 318 260 2858 858 593 1198 2028 1197 608
719, 318 260 1198 2762 2028 593 858 1196 2858 1197
729, 318 2762 260 858 593 1198 2858 2028 1196 608
735, 318 2858 2762 593 2028 858 2396 608 260 2997
737, 260 1198 318 858 1196 2028 593 2858 2762 1193
741, 858 260 318 1198 593 608 2028 1196 2762 1193
749, 318 2762 858 2028 2858 260 1198 1196 608 1197
751, 593 2028 2858 858 1196 1197 2396 457 3147 1617
757, 2762 318 593 2858 260 2028 1198 858 2396 1197
759, 318 2858 2762 593 260 858 2028 1198 1196 1197
771, 2858 318 858 593 260 1198 1213 2028 1617 2762
773, 260 318 1198 858 593 2028 1196 2762 2858 1197
777, 260 1198 858 2028 1196 2762 2858 1197 608 1617
779, 858 2858 912 750 608 593 541 1193 318 260
785, 858 2858 318 608 260 593 2762 1198 1193 912
791, 2858 318 858 608 593 2762 260 1617 1198 1193
797, 318 2762 260 1198 858 2858 593 1196 2028 1197
801, 260 858 1198 318 593 2762 2858 1196 2028 608
